SAMPLE_ID,TYPE,PACKAGE,OUTER_CLASS,CLASS,METHOD,PARAMETERS,REPOSITORY,COMMIT_HASH,GIT_SOURCE_FILE_URL,START_LINE,END_LINE,PATH
5771277,constructor,org.apache.syncope.client.ui.commons,,ConnIdSpecialName,ConnIdSpecialName,,git@github.com:apache/syncope.git,114c412afbfba24ffb4fbc804e5308a823a16a78,https://github.com/apache/syncope/blob/114c412afbfba24ffb4fbc804e5308a823a16a78/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java/#L35-L37,35,37,/client/idrepo/ui/src/main/java/org/apache/syncope/client/ui/commons/ConnIdSpecialName.java
5786929,class,org.apache.tez.runtime.library.common.writers,,UnorderedPartitionedKVWriter,,,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java/#L89-L1427,89,1427,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/writers/UnorderedPartitionedKVWriter.java
5788107,method,org.apache.tika.parser.ocr,,TesseractOCRConfig,getImageMagickPath,,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,https://github.com/apache/tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java/#L531-L534,531,534,/tika-parsers/src/main/java/org/apache/tika/parser/ocr/TesseractOCRConfig.java
5788583,method,org.apache.tez.runtime.library.common.shuffle.orderedgrouped,,ShuffleHeader,writeLength,,git@github.com:apache/tez.git,d5675c332497c1ac1dedefdf91e87476b5c0d7a9,https://github.com/apache/tez/blob/d5675c332497c1ac1dedefdf91e87476b5c0d7a9/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java/#L88-L99,88,99,/tez-runtime-library/src/main/java/org/apache/tez/runtime/library/common/shuffle/orderedgrouped/ShuffleHeader.java
5789396,class,org.apache.tika.parser.multiple,,SupplementingParser,,,git@github.com:apache/tika.git,4131c6e30f2e0eb1feb85e0f7576531d4e830468,https://github.com/apache/tika/blob/4131c6e30f2e0eb1feb85e0f7576531d4e830468/tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java/#L43-L85,43,85,/tika-core/src/main/java/org/apache/tika/parser/multiple/SupplementingParser.java
5799314,class,org.apache.tapestry5.internal.services,,RequestSecurityManagerImpl,,,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java/#L26-L126,26,126,/tapestry-core/src/main/java/org/apache/tapestry5/internal/services/RequestSecurityManagerImpl.java
5799022,class,org.apache.tapestry5.corelib.base,,AbstractConditional,,,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java/#L32-L96,32,96,/tapestry-core/src/main/java/org/apache/tapestry5/corelib/base/AbstractConditional.java
5798354,method,org.apache.tapestry5.internal.plastic.asm.util,,Printer,visitMethodTypeAnnotation,int|TypePath|String|boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java/#L736-L739,736,739,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/util/Printer.java
5798489,constructor,org.apache.tapestry5.dom,,Html5MarkupModel,Html5MarkupModel,boolean,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java/#L36-L39,36,39,/tapestry-core/src/main/java/org/apache/tapestry5/dom/Html5MarkupModel.java
5800930,method,org.apache.tapestry5.internal.plastic.asm.tree.analysis,,SourceValue,getSize,,git@github.com:apache/tapestry-5.git,542950fc0266e8f9be1aacb5d6ba92146ae20f1b,https://github.com/apache/tapestry-5/blob/542950fc0266e8f9be1aacb5d6ba92146ae20f1b/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java/#L101-L104,101,104,/plastic/src/external/java/org/apache/tapestry5/internal/plastic/asm/tree/analysis/SourceValue.java
