LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909091,10,289,13,48.78947368421053,791,1787,42,2,1427,93.34210526315789,38,0,38,11.236842105263158,90,274.8181818181818,11,60.026315789473685,791,3,46,179,3
0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0,12.375,82,374,23,1,86,71.375,8,0,6,1.625,6,165.5,2,14.0,82,0,4,184,0
0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0,19.416666666666668,86,4046,165,0,126,86.5,12,0,12,8.916666666666666,26,1500.0,2,28.333333333333332,86,0,2,2065,0
0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2,26.0,90,3691,547,1,96,114.0,4,0,4,2.0,5,1095.3333333333333,3,28.0,90,0,3,1500,0
0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.375,221,1466,118,2,250,65.125,8,0,6,1.125,4,3412.75,4,33.5,222,1,1,518,0
0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0,11.235294117647058,122,2437,130,3,136,69.0,17,0,12,3.235294117647059,16,870.5,2,14.470588235294118,122,4,12,215,1
0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0,69.21428571428571,293,455,4,0,434,72.57142857142857,14,0,9,38.214285714285715,108,16.0,2,107.42857142857143,293,1,20,393,2
0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0,42.314516129032256,1131,4744,38,48,1743,114.04838709677419,124,0,92,28.258064516129032,1131,3579.6363636363635,11,70.5725806451613,2262,7,1,24,0
0.0,8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,53.4,356,145,3,6,639,72.45,20,0,8,21.45,183,8687.333333333334,3,74.85,400,0,1,77,0
0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0,47.0,86,2268,19,1,85,111.5,2,0,2,4.5,9,1714.0,1,51.5,86,1,3,2229,0
0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,23.333333333333332,59,358,44,1,55,176.66666666666666,3,0,3,5.0,14,12871.0,2,28.333333333333332,59,0,4,226,0
0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,26.5,38,4472,98,0,42,79.5,2,0,2,5.5,11,302.0,2,32.0,38,1,1,4275,0
