SampleId,SampleType,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange
5786929,CLASS,48.78947368421053,791,1787,42,2,1427,93.34210526315789,38,0,38,11.236842105263158,90,274.8181818181818,11,60.026315789473685,791,3,46,179
5789396,CLASS,12.375,82,374,23,1,86,71.375,8,0,6,1.625,6,165.5,2,14.0,82,0,4,184
5799314,CLASS,19.416666666666668,86,4046,165,0,126,86.5,12,0,12,8.916666666666666,26,1500.0,2,28.333333333333332,86,0,2,2065
5799022,CLASS,26.0,90,3691,547,1,96,114.0,4,0,4,2.0,5,1095.3333333333333,3,28.0,90,0,3,1500
5812130,CLASS,32.375,221,1466,118,2,250,65.125,8,0,6,1.125,4,3412.75,4,33.5,222,1,1,518
5822090,CLASS,11.235294117647058,122,2437,130,3,136,69.0,17,0,12,3.235294117647059,16,870.5,2,14.470588235294118,122,4,12,215
5828468,CLASS,69.21428571428571,293,455,4,0,434,72.57142857142857,14,0,9,38.214285714285715,108,16.0,2,107.42857142857143,293,1,20,393
5839091,CLASS,42.314516129032256,1131,4744,38,48,1743,114.04838709677419,124,0,92,28.258064516129032,1131,3579.6363636363635,11,70.5725806451613,2262,7,1,24
5839770,CLASS,53.4,356,145,3,6,639,72.45,20,0,8,21.45,183,8687.333333333334,3,74.85,400,0,1,77
5827650,CLASS,47.0,86,2268,19,1,85,111.5,2,0,2,4.5,9,1714.0,1,51.5,86,1,3,2229
5855407,CLASS,23.333333333333332,59,358,44,1,55,176.66666666666666,3,0,3,5.0,14,12871.0,2,28.333333333333332,59,0,4,226
5857044,CLASS,26.5,38,4472,98,0,42,79.5,2,0,2,5.5,11,302.0,2,32.0,38,1,1,4275
5866628,CLASS,20.8,75,3534,313,1,90,67.4,5,0,5,2.8,9,3047.5,2,23.6,75,0,3,1969
5871455,CLASS,19.0,35,4472,13,0,35,126.0,2,0,2,1.5,3,475.5,2,20.5,35,0,1,4446
5875400,CLASS,11.125,43,1925,64,0,84,68.125,8,0,7,0.625,2,950.5,2,11.75,43,1,4,1412
5884892,CLASS,29.97142857142857,208,2202,42,8,440,67.88571428571429,35,0,28,17.4,184,482.8888888888889,9,47.371428571428574,392,0,10,716
5894781,CLASS,8.5,45,1859,108,3,27,154.41666666666666,12,0,12,6.25,29,88.75,4,14.75,56,0,1,558
5894436,CLASS,11.5,42,2728,146,0,22,34.833333333333336,6,0,5,7.833333333333333,32,384.75,4,19.333333333333332,42,0,2,1849
5898336,CLASS,18.333333333333332,54,4736,298,2,50,176.16666666666666,12,0,12,14.166666666666666,51,74.0,6,32.5,96,0,1,1149
5870863,CLASS,28.6,114,4472,195,1,109,98.6,5,0,5,6.8,25,1761.5,4,35.4,114,0,3,3493
5905362,CLASS,58.523809523809526,285,5034,198,4,285,163.66666666666666,21,0,21,44.95238095238095,285,462.375,8,103.47619047619048,570,1,4,869
5905498,CLASS,16.0,56,5034,142,2,84,93.8125,16,0,16,10.75,53,570.0,5,26.75,97,0,2,2757
5923532,CLASS,1077.054054054054,6143,1490,39,1,21034,54.810810810810814,37,0,35,508.56756756756755,6143,230.86666666666667,15,1585.6216216216217,10448,2,3,11
5938889,CLASS,117.66666666666667,361,3299,512,0,258,75.5,6,0,6,74.66666666666667,318,257.75,4,192.33333333333334,636,2,8,227
5935402,CLASS,10.19047619047619,94,1291,61,0,123,51.095238095238095,21,0,21,4.333333333333333,33,152.58333333333334,12,14.523809523809524,94,2,12,7
5971146,CLASS,65.55555555555556,408,2580,211,3,513,196.33333333333334,9,0,9,8.555555555555555,50,2701.0,3,74.11111111111111,408,1,2,680
6002683,CLASS,20.3,133,2569,199,2,170,29.2,10,0,10,3.3,10,610.0,3,23.6,133,0,4,573
6005399,CLASS,51.8,219,1979,215,0,219,38.4,5,0,5,8.0,34,1679.0,1,59.8,219,0,13,902
6009975,CLASS,9.857142857142858,62,705,76,0,21,22.428571428571427,7,0,6,6.857142857142857,26,515.0,1,16.714285714285715,62,0,1,169
6009432,CLASS,33.8,91,1510,129,0,145,28.4,5,0,5,4.8,21,139.66666666666666,3,38.6,91,2,3,861
6012953,CLASS,9.1,68,1052,96,0,61,19.6,10,0,8,3.0,16,1840.0,1,12.1,68,0,4,87
6133656,CLASS,62.6,205,4093,799,3,213,34.2,5,0,5,20.0,64,692.0,4,82.6,205,0,4,98
6025409,CLASS,17.125,124,502,38,2,108,55.125,8,0,4,3.625,24,1513.0,1,20.75,124,0,1,198
6051731,CLASS,366.6666666666667,549,1193,176,0,549,36.666666666666664,3,0,3,183.66666666666666,549,382.3333333333333,3,550.3333333333334,1098,1,20,665
6073506,CLASS,6.714285714285714,31,255,14,0,31,50.142857142857146,7,0,5,2.2857142857142856,8,567.0,3,9.0,31,0,3,154
6079026,CLASS,22.555555555555557,167,349,13,2,319,73.38888888888889,18,0,12,4.833333333333333,21,507.0,5,27.38888888888889,174,1,43,109
6115582,CLASS,142.22222222222223,1151,1194,53,1,1218,50.44444444444444,9,0,7,6.888888888888889,48,69.0,5,149.11111111111111,1151,0,4,712
6178268,CLASS,8.8,35,3229,586,0,36,35.6,5,0,5,1.6,4,502.6,5,10.4,35,2,4,296
6179479,CLASS,5.636363636363637,20,1135,82,2,24,41.0,11,0,9,3.4545454545454546,8,130.5,6,9.090909090909092,20,0,2,233
6181780,CLASS,4.823529411764706,18,1135,53,2,29,44.8235294117647,17,0,15,3.1176470588235294,8,120.375,8,7.9411764705882355,18,0,2,233
6183095,CLASS,8.529411764705882,41,1135,53,3,47,50.94117647058823,17,0,16,5.764705882352941,23,130.44444444444446,9,14.294117647058824,45,0,5,233
6191838,CLASS,16.8,69,2957,567,0,79,39.8,5,0,5,1.0,3,496.6,5,17.8,69,1,3,121
6192975,CLASS,15.571428571428571,64,1135,64,2,88,44.5,14,0,12,9.285714285714286,49,142.0,9,24.857142857142858,97,0,6,233
6197424,CLASS,29.181818181818183,87,992,69,1,102,36.18181818181818,11,0,8,19.90909090909091,66,182.0,6,49.09090909090909,134,0,10,233
6207228,CLASS,28.46153846153846,103,1135,69,3,97,48.69230769230769,13,0,11,21.0,85,130.0,9,49.46153846153846,167,0,5,233
6213525,CLASS,13.5,40,625,49,1,35,36.875,8,0,6,9.125,21,205.25,4,22.625,40,0,2,233
6216254,CLASS,110.0,283,1133,25,0,307,49.666666666666664,3,0,3,7.666666666666667,23,615.0,2,117.66666666666667,283,0,44,1057
6221911,CLASS,39.0,39,589,0,0,39,20.0,1,0,1,0.0,0,153.0,1,39.0,39,0,1,589
6235781,CLASS,190.0,190,759,0,0,190,62.0,1,0,1,0.0,0,2088.0,1,190.0,190,0,7,759
6239751,CLASS,34.666666666666664,170,1247,84,0,169,56.166666666666664,6,0,6,6.5,13,413.3333333333333,3,41.166666666666664,170,1,15,739
6245494,CLASS,32.333333333333336,76,683,104,0,139,48.333333333333336,6,0,6,9.166666666666666,24,2112.0,1,41.5,100,1,5,56
6257015,CLASS,17.875,97,1114,58,3,97,55.25,8,0,5,5.75,38,341.6666666666667,3,23.625,97,0,1,645
6263358,CLASS,51.5,403,976,36,3,306,88.75,8,0,7,13.25,82,377.25,4,64.75,403,0,44,684
6267409,CLASS,13.545454545454545,62,3461,306,2,102,43.54545454545455,11,0,11,4.2727272727272725,20,683.0,8,17.818181818181817,62,0,7,92
6328141,CLASS,8.0,20,836,44,1,45,51.375,8,0,7,2.375,10,760.6,5,10.375,21,0,1,484
6328547,CLASS,6.0,22,889,147,1,25,37.5,6,0,6,1.8333333333333333,5,640.25,4,7.833333333333333,22,1,3,3
6306158,CLASS,29.0,106,435,108,0,114,46.25,4,0,3,0.5,1,547.0,2,29.5,106,0,7,0
6329919,CLASS,22.636363636363637,299,889,23,8,442,66.75757575757575,33,0,28,9.242424242424242,96,573.7142857142857,7,31.87878787878788,299,3,21,102
6350501,CLASS,476.2,2349,2066,175,1,2342,39.2,10,0,9,242.0,2294,988.25,4,718.2,4588,0,145,307
6312810,CLASS,26.0,51,554,0,1,51,29.5,2,0,1,0.5,1,1626.0,1,26.5,51,0,1,554
6340836,CLASS,26.333333333333332,63,410,79,1,68,44.0,3,0,3,3.6666666666666665,7,73.5,2,30.0,63,0,3,171
6424683,CLASS,9.6,31,5141,986,4,34,49.0,5,0,5,2.8,5,1270.3333333333333,3,12.4,31,0,2,207
6392412,CLASS,19.0,68,2500,155,2,63,49.333333333333336,6,0,5,8.5,43,488.6666666666667,3,27.5,80,0,2,1568
6357053,CLASS,69.22222222222223,785,3026,101,4,760,50.5,18,0,16,27.0,118,131.125,8,96.22222222222223,785,0,2,1199
6427227,CLASS,7.666666666666667,22,6513,420,9,30,102.53333333333333,15,0,15,5.666666666666667,21,580.625,8,13.333333333333334,42,1,2,207
6432897,CLASS,5.166666666666667,18,1047,170,1,4,47.166666666666664,6,0,6,4.5,14,1758.0,1,9.666666666666666,18,0,1,22
6385711,CLASS,23.333333333333332,115,4029,254,14,215,117.06666666666666,15,0,14,9.0,74,1038.0,4,32.333333333333336,168,2,9,207
