SampleId,SampleType,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations
5786929,CLASS,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909091,10,289,13
5789396,CLASS,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0
5799314,CLASS,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0
5799022,CLASS,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2
5812130,CLASS,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5822090,CLASS,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0
5828468,CLASS,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0
5839091,CLASS,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0
5839770,CLASS,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0
5827650,CLASS,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0
5855407,CLASS,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0
5857044,CLASS,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0
5866628,CLASS,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0
5871455,CLASS,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0
5875400,CLASS,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0
5884892,CLASS,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.47368421052631576,14,94,0
5894781,CLASS,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5894436,CLASS,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
5898336,CLASS,0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0
5870863,CLASS,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0
5905362,CLASS,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0
5905498,CLASS,0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0
