id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,Age,Severity
0,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909092,10,289,13,1787,3
1,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0,374,0
2,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0,4046,0
3,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2,3691,0
4,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1466,0
5,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0,2437,1
6,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0,455,2
7,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0,4744,0
8,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,145,0
9,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0,2268,0
10,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,358,0
11,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,4472,0
12,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0,3534,0
13,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,4472,0
14,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,1925,0
15,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.4736842105263157,14,94,0,2202,2
16,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1859,0
17,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2728,0
18,0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0,4736,0
19,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0,4472,0
20,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,5034,0
21,0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0,5034,0
22,0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0,3299,1
23,0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0,1291,0
24,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2580,0
25,0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0,2569,0
26,0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8,1979,0
27,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,705,0
28,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,1510,0
29,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,1052,0
30,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,502,0
31,0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0,1193,0
32,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,255,0
33,1.8072289156626504,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0,349,3
34,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,1194,0
35,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,1135,0
36,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,1135,0
37,0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0,1135,0
38,0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0,1135,1
39,0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.1666666666666666,12,12,0,992,0
40,0.0,70,0.0,3,0,0,9,1,0,4,10,6,0.5555555555555556,9,17,0,1135,0
41,0.0,23,0.0,0,0,0,2,0,0,1,4,4,1.0,2,3,0,625,0
42,0.0,151,0.0,1,0,0,20,0,0,0,40,39,0.95,20,35,0,1133,1
43,0.0,14,0.0,0,0,0,2,0,0,0,3,3,1.0,1,12,0,589,0
44,0.0,126,0.0,5,0,0,16,0,1,4,17,12,0.6875,7,64,3,759,0
45,0.0,83,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,2,54,0,1247,1
46,0.0,56,0.0,6,0,0,10,2,0,4,12,2,0.2,10,14,0,683,0
47,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,1114,0
48,0.0,113,0.0,3,0,0,11,3,0,3,18,9,0.4545454545454545,11,18,0,976,0
49,0.0,32,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,836,0
50,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,889,0
51,0.0,70,0.0,0,0,0,6,0,3,0,16,16,1.0,6,49,0,435,1
52,1.953125,256,0.0,0,5,0,13,0,0,1,32,32,1.0,10,201,0,889,2
53,0.0,23,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,554,0
54,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,410,0
55,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,3026,0
56,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1047,0
57,0.0,55,0.0,0,0,0,2,0,0,0,5,5,1.0,0,4,0,556,0
58,0.0,27,0.0,0,0,0,2,0,1,1,3,3,1.0,2,8,0,947,0
59,0.0,10,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1047,0
60,0.0,19,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0,1178,0
61,0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,15,0,1422,0
62,0.0,22,0.0,0,0,0,1,0,0,0,2,2,1.0,0,6,0,556,0
63,0.0,79,0.0,0,0,0,4,0,0,1,15,15,1.0,4,26,0,1163,1
64,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,687,0
65,0.0,31,0.0,2,0,0,4,0,0,0,7,5,0.5,4,13,0,1918,0
66,0.7194244604316546,139,0.7194244604316546,0,1,1,6,0,0,1,16,16,1.0,2,98,0,1135,1
67,0.0,75,0.0,1,0,0,8,0,0,0,15,14,0.875,1,28,0,556,0
68,0.0,19,0.0,4,0,0,4,0,0,0,4,0,0.0,4,4,0,259,0
69,0.0,39,0.0,4,0,0,5,0,0,3,5,1,0.2,5,5,0,842,0
70,0.0,111,0.0,0,0,0,3,0,1,0,23,23,1.0,1,38,0,556,0
71,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,632,0
72,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,5,0,1848,0
73,0.0,65,0.0,0,0,0,4,0,0,2,16,16,1.0,1,32,0,1270,0
74,0.0,26,0.0,0,0,0,3,0,0,0,5,5,1.0,2,11,1,632,0
75,0.0,68,0.0,0,0,0,4,0,0,5,11,11,1.0,1,30,7,1362,0
76,0.0,182,0.0,3,0,0,9,0,1,9,32,29,0.6666666666666666,6,65,0,1219,0
77,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,261,0
78,0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,1039,0
79,0.0,174,0.0,4,0,0,30,0,2,0,34,30,0.8666666666666667,30,43,0,306,1
80,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,578,0
81,4.838709677419355,124,0.0,0,6,0,5,0,0,4,18,18,1.0,3,80,0,281,2
82,0.0,32,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,4,11,0,1257,0
83,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1716,0
84,0.0,37,2.702702702702702,1,0,1,4,0,0,3,7,5,0.75,2,11,0,3533,0
85,0.0,180,0.0,13,0,0,33,0,2,0,37,24,0.6060606060606061,33,46,0,306,0
86,0.0,13,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,3533,0
87,2.0134228187919465,149,2.0134228187919465,0,3,3,10,1,0,0,28,27,0.9,8,58,0,441,1
88,0.0,90,0.0,7,0,0,14,0,0,0,20,13,0.5,13,35,0,2240,0
89,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,641,0
90,0.0,16,0.0,2,0,0,2,0,0,1,2,0,0.0,2,2,0,2994,0
91,0.0,239,0.0,0,0,0,1,0,0,0,1,1,1.0,1,235,0,641,0
92,0.0,38,0.0,2,0,0,5,0,0,1,8,6,0.6,3,11,0,2994,0
93,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1115,0
94,0.0,56,0.0,0,0,0,21,0,0,1,21,21,1.0,18,28,0,641,0
95,0.0,34,0.0,0,0,0,0,0,16,0,0,0,0.0,0,0,0,513,0
96,0.0,126,0.0,3,0,0,15,2,0,3,35,30,0.6666666666666666,15,26,0,531,0
97,0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,0,5,0,678,0
98,0.0,303,0.0,21,0,0,44,2,1,2,67,44,0.4772727272727273,44,55,0,1716,2
99,0.0,21,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,1,6,0,783,0
100,0.0,59,0.0,0,0,0,3,0,0,5,16,16,1.0,3,24,0,1363,1
101,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,8,0,1154,0
102,0.0,1461,0.0,6,0,0,40,7,3,1,381,365,0.675,35,677,0,1363,0
103,0.0,18,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,1156,0
104,0.0,83,0.0,0,0,0,5,0,0,0,16,16,1.0,4,10,0,884,0
105,0.0,282,0.0,8,0,0,22,1,0,5,76,49,0.5909090909090909,1,83,2,1959,0
106,0.0,1111,0.0,0,0,0,22,0,2,17,290,290,1.0,17,665,0,1363,3
107,0.0,17,0.0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,1505,0
108,0.0,39,0.0,2,0,0,4,0,0,2,4,2,0.5,4,7,0,769,0
109,0.0,313,0.0,16,0,0,37,0,10,8,56,39,0.5675675675675675,27,100,12,628,0
110,0.0,78,0.0,4,0,0,12,0,0,0,20,16,0.6666666666666666,12,29,0,1154,0
111,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,990,0
112,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0,1008,0
113,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,1106,0
114,0.0,11,0.0,0,0,0,1,0,0,0,4,4,1.0,1,8,0,13,0
115,0.0,39,0.0,1,0,0,5,0,1,1,6,5,0.8,5,19,0,1103,0
116,0.0,22,0.0,0,0,0,3,0,0,1,6,6,1.0,3,7,0,1103,0
117,0.0,70,0.0,5,0,0,11,2,0,5,13,6,0.3636363636363636,11,19,0,1103,0
118,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,109,0
119,0.0,21,0.0,0,0,0,3,1,0,1,3,2,0.6666666666666666,3,8,0,823,0
120,0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,1,7,0,823,0
121,0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,541,0
122,0.0,83,0.0,0,0,0,9,7,0,8,9,2,0.2222222222222222,9,25,8,823,0
123,0.0,59,0.0,0,0,0,4,0,0,1,13,13,1.0,4,52,0,823,0
124,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,5,0,250,0
125,0.0,168,0.0,1,0,0,17,14,0,16,17,2,0.1176470588235294,17,47,16,47,0
126,0.0,14,0.0,0,0,0,2,1,0,0,2,1,0.5,0,2,0,425,0
