id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,AverageNumberOfModifiedLines,Severity
0,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909092,10,289,13,60.026315789473685,3
1,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0,14.0,0
2,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0,28.33333333333333,0
3,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2,28.0,0
4,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,33.5,0
5,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0,14.470588235294118,1
6,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0,107.42857142857144,2
7,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0,70.5725806451613,0
8,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,74.85,0
9,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0,51.5,0
10,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,28.33333333333333,0
11,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,32.0,0
12,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0,23.6,0
13,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,20.5,0
14,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,11.75,0
15,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.4736842105263157,14,94,0,47.371428571428574,2
16,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,14.75,0
17,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,19.33333333333333,0
18,0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0,32.5,0
19,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0,35.4,0
20,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,103.47619047619048,0
21,0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0,26.75,0
22,0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0,192.33333333333331,1
23,0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0,14.523809523809524,0
24,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,74.11111111111111,0
25,0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0,23.6,0
26,0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8,59.8,0
27,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,16.714285714285715,0
28,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,38.6,0
29,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,12.1,0
30,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,20.75,0
