McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,AverageNumberOfAddedLines,MaxNumberOfAddedLines,Age,AverageTimeBetweenChanges,NumberOfBugFixes,CodeChurn,MeanCommitMessageLength,NumberOfRevisions,NumberOfCommitsWithoutMessage,DaysWithCommits,AverageNumberOfDeletedLines,MaxNumberOfDeletedLines,MeanAuthorCommits,NumberOfDistinctCommitters,AverageNumberOfModifiedLines,MaxNumberOfModifiedLines,NumberOfRefactorings,AuthorFragmentation,TimePassedSinceTheLastChange,Severity
1,2,0,0,4.0,4,719,0,0,4,56.0,1,0,1,0.0,0,7246.0,1,4.0,4,0,1,719,0
1,3,0,0,4.0,4,2213,0,0,4,66.0,1,0,1,0.0,0,67.0,1,4.0,4,0,1,2213,0
16,119,0,0,71.0,139,3207,13,1,136,38.5,2,0,2,3.0,6,703.0,1,74.0,139,0,9,3181,3
1,3,0,0,4.0,4,1269,0,0,4,14.0,1,0,1,0.0,0,240.0,1,4.0,4,1,1,1269,0
1,3,0,0,4.0,4,604,0,0,4,34.0,1,0,1,0.0,0,1840.0,1,4.0,4,0,1,604,0
1,4,0,0,2.4,4,1097,103,0,5,43.2,5,0,4,1.4,3,235.0,3,3.8,6,0,2,582,0
1,3,0,0,3.0,4,226,1,0,4,49.0,2,0,2,1.0,2,956.0,1,4.0,4,0,1,224,0
1,2,0,0,4.0,4,382,0,0,4,40.0,1,0,1,0.0,0,415.0,1,4.0,4,0,1,382,0
1,3,0,0,11.428571428571429,21,2041,33,1,-2,70.57142857142857,7,0,5,11.714285714285714,45,3443.0,2,23.142857142857142,47,0,1,1806,0
1,3,0,0,4.0,4,947,0,0,4,35.0,1,0,1,0.0,0,522.0,1,4.0,4,0,1,947,0
1,4,0,0,4.5,5,1177,578,0,7,50.5,2,0,2,1.0,2,261.5,2,5.5,7,0,1,21,0
1,3,0,0,4.0,4,1163,0,0,4,75.0,1,0,1,0.0,0,1386.0,1,4.0,4,0,1,1163,0
1,3,0,0,4.0,4,1163,0,0,4,75.0,1,0,1,0.0,0,1386.0,1,4.0,4,0,1,1163,0
1,3,0,0,4.0,4,785,0,0,4,45.0,1,0,1,0.0,0,121.0,1,4.0,4,0,1,785,0
1,4,0,0,5.0,5,1474,0,0,5,58.0,1,0,1,0.0,0,467.0,1,5.0,5,0,1,1474,0
1,7,0,0,8.0,8,157,0,0,8,26.0,1,0,1,0.0,0,64.0,1,8.0,8,0,1,157,0
1,3,0,0,5.0,5,531,0,0,5,27.0,1,0,1,0.0,0,6.0,1,5.0,5,0,1,531,0
2,12,0,0,12.0,13,171,1,0,13,33.0,2,0,2,5.5,11,203.0,1,17.5,22,1,3,169,0
1,16,0,0,2.8421052631578947,12,1971,44,4,17,43.1578947368421,19,0,16,1.9473684210526316,8,185.0,5,4.7894736842105265,16,1,7,1134,1
1,3,0,0,4.0,4,2338,0,0,4,13.0,1,0,1,0.0,0,77.0,1,4.0,4,0,2,2338,0
2,6,0,0,7.0,7,906,0,0,7,56.0,1,0,1,0.0,0,1515.0,1,7.0,7,0,1,906,0
1,3,0,0,4.0,4,4130,0,0,4,34.0,1,0,1,0.0,0,3136.0,1,4.0,4,0,1,4130,0
1,5,0,0,6.0,6,577,0,1,6,30.0,1,0,1,0.0,0,628.0,1,6.0,6,0,1,577,0
1,3,0,0,4.0,4,1082,0,0,4,21.0,1,0,1,0.0,0,28.0,1,4.0,4,0,1,1082,0
2,8,0,0,9.0,9,1082,0,0,9,21.0,1,0,1,0.0,0,28.0,1,9.0,9,0,1,1082,0
1,3,0,0,2.5,4,1380,44,0,4,34.0,2,0,2,0.5,1,3581.0,1,3.0,4,0,1,1291,0
1,4,0,0,5.0,5,1082,0,0,5,21.0,1,0,1,0.0,0,28.0,1,5.0,5,0,1,1082,0
1,7,0,0,4.5,8,3095,21,0,8,35.5,2,0,2,0.5,1,513.5,2,5.0,8,0,2,3052,0
1,5,0,0,6.0,6,282,0,0,6,36.0,1,0,1,0.0,0,77.0,1,6.0,6,0,2,282,0
1,4,0,0,5.0,5,151,0,1,5,54.0,1,0,1,0.0,0,235.0,1,5.0,5,1,1,151,0
1,3,0,0,2.5,4,556,0,0,4,39.5,2,0,1,0.5,1,167.0,1,3.0,4,0,1,556,0
1,3,0,0,4.0,4,1479,0,0,4,26.0,1,0,1,0.0,0,693.0,1,4.0,4,0,2,1479,0
1,2,0,0,2.0,2,218,0,0,2,60.0,1,0,1,0.0,0,223.0,1,2.0,2,0,1,218,0
1,2,0,0,3.0,3,218,0,0,3,60.0,1,0,1,0.0,0,223.0,1,3.0,3,0,1,218,0
1,2,0,0,3.0,3,218,0,0,3,60.0,1,0,1,0.0,0,223.0,1,3.0,3,0,1,218,0
1,2,0,0,2.0,2,218,0,0,2,60.0,1,0,1,0.0,0,223.0,1,2.0,2,0,1,218,0
1,2,0,0,3.0,3,218,0,0,3,60.0,1,0,1,0.0,0,223.0,1,3.0,3,0,1,218,0
1,4,0,0,5.0,5,218,0,0,5,60.0,1,0,1,0.0,0,223.0,1,5.0,5,0,1,218,0
1,3,0,0,4.0,4,241,0,0,4,44.0,1,0,1,0.0,0,737.0,1,4.0,4,0,2,241,0
1,3,0,0,2.3333333333333335,5,453,90,0,4,45.333333333333336,3,0,3,1.0,3,86.5,2,3.3333333333333335,5,0,2,182,0
2,5,0,0,2.6666666666666665,8,3804,523,1,8,53.166666666666664,6,0,6,1.3333333333333333,2,4945.5,2,4.0,8,0,3,665,0
10,54,0,0,18.0,66,3799,846,0,69,41.25,4,0,4,0.75,1,9140.0,1,18.75,66,0,2,414,2
2,12,0,0,7.0,9,764,320,2,13,36.0,2,0,2,0.5,1,49.5,2,7.5,10,0,2,124,0
1,3,0,0,4.0,4,1842,0,0,4,24.0,1,0,1,0.0,0,573.0,1,4.0,4,0,1,1842,0
1,3,0,0,3.0,4,2763,42,0,4,93.5,2,0,2,1.0,2,367.5,2,4.0,4,0,1,2679,0
