SampleId,SampleType,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable
5771277,CONSTRUCTOR,1,2,0,0
5788107,METHOD,1,3,0,0
5788583,METHOD,1,10,0,0
5798354,METHOD,1,3,0,0
5798489,CONSTRUCTOR,1,3,0,0
5800930,METHOD,1,3,0,0
5809960,METHOD,1,3,0,0
5828765,METHOD,2,10,0,0
5841731,METHOD,1,3,0,0
5840527,METHOD,9,37,0,0
5839532,METHOD,4,15,0,0
5839980,METHOD,10,27,0,0
5855589,METHOD,2,6,0,0
5855387,METHOD,2,9,0,0
5857311,METHOD,2,9,0,0
5858827,METHOD,1,4,0,0
5875574,METHOD,1,3,0,0
5904263,METHOD,1,3,0,0
5904455,METHOD,1,4,0,0
5904841,METHOD,2,3,0,0
5922177,METHOD,6,27,0,0
5939437,METHOD,2,6,0,0
5939683,METHOD,1,3,0,0
5939954,CONSTRUCTOR,16,119,0,0
6005367,METHOD,1,3,0,0
6010673,METHOD,1,3,0,0
6009570,CONSTRUCTOR,1,3,0,0
5939530,METHOD,2,8,0,0
6016779,CONSTRUCTOR,1,3,0,0
6051478,METHOD,1,3,0,0
6073975,METHOD,1,3,0,0
6177738,METHOD,3,10,0,0
6179494,CONSTRUCTOR,1,4,0,0
6179505,METHOD,1,3,0,0
6183429,METHOD,3,10,0,0
6182357,METHOD,1,3,0,0
6190083,METHOD,1,3,0,0
6198340,METHOD,3,10,0,0
6212569,METHOD,1,9,0,0
6212333,METHOD,1,3,0,0
6212329,METHOD,1,3,0,0
6236496,METHOD,3,20,0,0
6234592,METHOD,5,28,0,0
6241200,CONSTRUCTOR,1,3,0,0
6246396,METHOD,1,3,0,0
6244944,METHOD,2,12,0,0
6244777,METHOD,1,3,0,0
6247819,CONSTRUCTOR,1,2,0,0
6250253,METHOD,1,3,0,0
6286234,CONSTRUCTOR,1,3,0,0
6298870,METHOD,1,3,0,0
6306007,METHOD,1,3,0,0
6299837,METHOD,5,21,0,0
6312967,METHOD,1,3,0,0
6328926,METHOD,1,3,0,0
6328915,METHOD,1,3,0,0
6328221,METHOD,4,14,0,0
6329210,METHOD,1,5,0,0
6329948,METHOD,3,8,0,0
6329418,METHOD,1,3,0,0
6340833,METHOD,2,3,0,0
6310723,METHOD,8,13,0,0
6341238,METHOD,2,10,0,0
6311678,METHOD,1,4,0,0
6431408,METHOD,1,3,0,0
6435518,METHOD,1,3,0,0
6442583,METHOD,13,73,0,0
6457553,METHOD,4,15,0,0
6458156,CONSTRUCTOR,1,3,0,0
6457258,METHOD,4,17,0,0
6459500,CONSTRUCTOR,1,4,0,0
6457764,METHOD,2,5,0,0
6487817,METHOD,1,3,0,0
6491821,CONSTRUCTOR,1,3,0,0
6492213,CONSTRUCTOR,1,3,0,0
6502815,CONSTRUCTOR,1,3,0,0
6458150,METHOD,1,3,0,0
6486798,METHOD,4,17,0,0
6515617,METHOD,5,20,0,0
6513603,CONSTRUCTOR,1,4,0,0
6518475,METHOD,1,3,0,0
6515344,METHOD,1,3,0,0
6521680,METHOD,1,3,0,0
6533221,METHOD,3,10,0,0
6493734,METHOD,1,6,0,0
6536605,METHOD,1,4,0,0
6537117,METHOD,3,7,0,0
6546622,METHOD,1,3,0,0
6533723,METHOD,1,3,0,0
6578382,METHOD,1,12,0,0
6579602,METHOD,10,41,0,0
6623499,METHOD,1,3,0,0
6623370,METHOD,1,3,0,0
6606189,METHOD,2,8,0,0
6624087,METHOD,1,3,0,0
6632662,METHOD,1,3,0,0
6633155,METHOD,3,10,0,0
6632851,METHOD,1,3,0,0
6164700,CONSTRUCTOR,1,7,0,0
6893083,METHOD,1,3,0,0
6165484,METHOD,1,3,0,0
6892868,METHOD,1,3,0,0
6915312,METHOD,1,3,0,0
6920891,METHOD,1,3,0,0
6915447,METHOD,1,3,0,0
6921162,METHOD,1,3,0,0
6680697,METHOD,1,4,0,0
6921833,METHOD,2,7,0,0
6923759,METHOD,4,12,0,0
6917328,METHOD,3,13,0,0
6939776,METHOD,2,5,0,0
6940151,METHOD,1,3,0,0
6920597,METHOD,1,3,0,0
6985429,METHOD,2,3,0,0
6920454,METHOD,5,24,0,0
7022945,METHOD,1,4,0,0
6923170,METHOD,1,5,0,0
7031904,CONSTRUCTOR,1,3,0,0
7023392,METHOD,5,17,0,0
7030976,METHOD,1,4,0,0
7001897,METHOD,2,8,0,0
7032580,METHOD,1,3,0,0
