id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,MeanAuthorCommits,Severity
0,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909092,10,289,13,274.8181818181818,0
1,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0,165.5,0
2,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0,1500.0,0
3,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2,1095.3333333333333,0
4,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3412.75,0
5,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0,870.5,0
6,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0,16.0,0
7,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0,3579.6363636363635,0
8,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,8687.333333333334,0
9,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0,1714.0,0
10,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,12871.0,0
11,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,302.0,0
12,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0,3047.5,0
13,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,475.5,0
14,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,950.5,0
15,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.4736842105263157,14,94,0,482.8888888888889,0
16,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,88.75,0
17,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,384.75,0
18,0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0,74.0,0
19,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0,1761.5,0
20,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,462.375,0
21,0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0,570.0,0
22,0.0,27,0.0,0,0,0,2,0,0,0,4,4,1.0,2,12,0,230.86666666666667,0
23,0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0,257.75,0
24,0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0,152.58333333333334,1
25,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2701.0,0
26,0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0,610.0,2
27,0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8,1679.0,2
28,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,515.0,0
29,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,139.66666666666666,2
30,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,1840.0,0
31,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,1513.0,0
32,0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0,382.3333333333333,0
33,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,567.0,0
34,1.8072289156626504,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0,507.0,0
35,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,69.0,0
36,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,130.5,0
37,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,120.375,0
38,0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0,130.44444444444446,1
39,0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0,142.0,0
40,0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.1666666666666666,12,12,0,182.0,2
