id,LambdaDensity,LinesOfCodeInClass,MethodReferenceDensity,NumberOfAccessorMethods,NumberOfLambdaExpressionsInClass,NumberOfMethodReferencesPerClass,NumberOfMethods,NumberOfMutatorMethods,NumberOfPublicFields,NumberOfPrivateFields,WeightedMethodsPerClass,WeightedMethodsPerClassWithoutAccessorAndMutatorMethods,WeightOfClass,NumberOfPublicMethods,ResponseForClass,NumberOfAnnotations,NumberOfBugFixes,MeanCommitMessageLength,NumberOfRevisions,DaysWithCommits,NumberOfRefactorings,Severity
0,0.0,1120,0.0,3,0,0,44,1,0,57,155,151,0.9090909090909092,10,289,13,2,93.34210526315788,38,38,3,0
1,0.0,29,0.0,0,0,0,1,0,1,1,2,2,1.0,0,4,0,1,71.375,8,6,0,0
2,0.0,65,0.0,0,0,0,5,0,0,5,15,15,1.0,3,12,0,0,86.5,12,12,0,0
3,0.0,36,0.0,1,0,0,4,0,0,3,7,6,0.75,0,9,2,1,114.0,4,4,0,0
4,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,65.125,8,6,1,0
5,0.0,94,0.0,2,0,0,6,0,0,2,20,18,0.6666666666666666,3,29,0,3,69.0,17,12,4,0
6,0.0,400,0.0,1,0,0,18,3,0,43,75,71,0.7777777777777778,9,213,0,0,72.57142857142857,14,9,1,0
7,0.0,30,0.0,0,0,0,1,0,0,1,5,5,1.0,1,7,0,48,114.0483870967742,124,92,7,0
8,0.0,8,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,6,72.45,20,8,0,0
9,0.0,53,0.0,1,0,0,6,0,0,3,14,13,0.8333333333333334,6,25,0,1,111.5,2,2,1,0
10,0.0,7,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,1,176.66666666666666,3,3,0,0
11,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,5,0,0,79.5,2,2,1,0
12,0.0,34,0.0,0,0,0,3,0,1,1,4,4,1.0,2,14,0,1,67.4,5,5,0,0
13,0.0,7,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,126.0,2,2,0,0
14,0.0,19,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,0,68.125,8,7,1,0
15,0.0,241,0.0,3,0,0,19,7,1,16,48,38,0.4736842105263157,14,94,0,8,67.88571428571429,35,28,0,0
16,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,154.41666666666666,12,12,0,0
17,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,34.833333333333336,6,5,0,0
18,0.0,10,0.0,2,0,0,2,0,0,0,2,0,0.0,2,2,0,2,176.16666666666666,12,12,0,0
19,0.0,56,0.0,2,0,0,9,0,0,0,11,9,0.7777777777777778,8,24,0,1,98.6,5,5,0,0
20,0.0,6,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,4,163.66666666666666,21,21,1,0
21,0.0,31,0.0,0,0,0,2,0,0,0,6,6,1.0,0,10,0,2,93.8125,16,16,0,0
22,0.0,27,0.0,0,0,0,2,0,0,0,4,4,1.0,2,12,0,1,54.810810810810814,37,35,2,0
23,0.0,151,0.0,1,0,0,14,0,0,6,29,28,0.9285714285714286,10,67,0,0,75.5,6,6,2,0
24,0.0,97,0.0,5,0,0,12,0,8,6,12,7,0.5833333333333334,12,22,0,0,51.095238095238095,21,21,2,1
25,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,3,196.33333333333331,9,9,1,0
26,0.0,125,0.0,5,0,0,13,4,0,4,26,17,0.3076923076923077,7,42,0,2,29.2,10,10,0,2
27,0.0,57,0.0,4,0,0,8,3,0,5,9,2,0.125,8,8,8,0,38.4,5,5,0,2
28,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,22.428571428571427,7,6,0,0
29,0.0,55,0.0,2,0,0,4,2,0,3,4,0,0.0,4,4,0,0,28.4,5,5,2,2
30,0.0,22,0.0,0,0,0,2,0,0,1,2,2,1.0,1,6,0,0,19.6,10,8,0,0
31,0.0,7,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,2,55.125,8,4,0,0
32,0.0,467,0.0,7,0,0,37,2,0,3,140,131,0.7567567567567568,35,153,0,0,36.66666666666666,3,3,1,0
33,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,0,2,0,0,50.142857142857146,7,5,0,0
34,1.8072289156626504,166,1.2048192771084338,1,3,2,12,0,0,6,28,27,0.9166666666666666,4,141,0,2,73.38888888888889,18,12,1,0
35,0.0,9,0.0,0,0,0,1,0,0,1,1,1,1.0,1,2,0,1,50.44444444444444,9,7,0,0
36,0.0,4,0.0,0,0,0,1,0,0,0,1,1,1.0,0,1,0,2,41.0,11,9,0,0
37,0.0,15,0.0,0,0,0,6,0,0,0,6,6,1.0,0,6,0,2,44.8235294117647,17,15,0,0
38,0.0,29,0.0,2,0,0,4,0,1,1,4,2,0.5,2,4,0,3,50.94117647058823,17,16,0,1
39,0.0,46,0.0,0,0,0,3,0,0,2,7,7,1.0,1,29,0,2,44.5,14,12,0,0
40,0.0,73,0.0,4,0,0,12,6,0,3,14,4,0.1666666666666666,12,12,0,1,36.18181818181818,11,8,0,2
41,0.0,70,0.0,3,0,0,9,1,0,4,10,6,0.5555555555555556,9,17,0,3,48.69230769230769,13,11,0,2
42,0.0,23,0.0,0,0,0,2,0,0,1,4,4,1.0,2,3,0,1,36.875,8,6,0,0
43,0.0,151,0.0,1,0,0,20,0,0,0,40,39,0.95,20,35,0,0,49.66666666666666,3,3,0,0
44,0.0,14,0.0,0,0,0,2,0,0,0,3,3,1.0,1,12,0,0,20.0,1,1,0,0
45,0.0,126,0.0,5,0,0,16,0,1,4,17,12,0.6875,7,64,3,0,62.0,1,1,0,0
46,0.0,83,0.0,1,0,0,3,0,0,1,15,14,0.6666666666666666,2,54,0,0,56.16666666666666,6,6,1,0
47,0.0,56,0.0,6,0,0,10,2,0,4,12,2,0.2,10,14,0,0,48.333333333333336,6,6,1,2
48,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,3,55.25,8,5,0,2
49,0.0,113,0.0,3,0,0,11,3,0,3,18,9,0.4545454545454545,11,18,0,3,88.75,8,7,0,1
50,0.0,32,0.0,3,0,0,6,3,0,3,6,0,0.0,6,6,0,1,51.375,8,7,0,0
51,0.0,4,0.0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,1,37.5,6,6,1,0
52,0.0,70,0.0,0,0,0,6,0,3,0,16,16,1.0,6,49,0,0,46.25,4,3,0,0
53,1.953125,256,0.0,0,5,0,13,0,0,1,32,32,1.0,10,201,0,8,66.75757575757575,33,28,3,0
54,0.0,23,0.0,1,0,0,4,0,0,0,4,3,0.75,4,4,0,1,29.5,2,1,0,0
55,0.0,8,0.0,0,0,0,1,0,0,0,1,1,1.0,1,1,0,1,44.0,3,3,0,0
56,0.0,26,0.0,0,0,0,1,0,0,2,3,3,1.0,1,15,0,4,50.5,18,16,0,0
57,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,47.16666666666666,6,6,0,0
58,0.0,55,0.0,0,0,0,2,0,0,0,5,5,1.0,0,4,0,0,41.333333333333336,3,3,0,0
59,0.0,27,0.0,0,0,0,2,0,1,1,3,3,1.0,2,8,0,0,35.0,1,1,0,0
60,0.0,10,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,45.6,10,9,2,0
61,0.0,19,0.0,0,0,0,1,0,0,0,4,4,1.0,1,7,0,0,40.0,1,1,0,0
62,0.0,32,0.0,0,0,0,1,0,0,0,8,8,1.0,1,15,0,1,29.0,1,1,0,0
63,0.0,22,0.0,0,0,0,1,0,0,0,2,2,1.0,0,6,0,1,42.2,5,5,0,0
64,0.0,79,0.0,0,0,0,4,0,0,1,15,15,1.0,4,26,0,1,58.2,5,5,0,0
65,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,45.0,2,2,0,0
66,0.0,31,0.0,2,0,0,4,0,0,0,7,5,0.5,4,13,0,2,44.0,6,6,0,0
67,0.7194244604316546,139,0.7194244604316546,0,1,1,6,0,0,1,16,16,1.0,2,98,0,2,49.34615384615385,26,23,2,0
68,0.0,75,0.0,1,0,0,8,0,0,0,15,14,0.875,1,28,0,0,49.0,3,3,0,0
69,0.0,19,0.0,4,0,0,4,0,0,0,4,0,0.0,4,4,0,1,67.75,4,4,0,0
70,0.0,39,0.0,4,0,0,5,0,0,3,5,1,0.2,5,5,0,1,51.6,5,5,0,0
71,0.0,111,0.0,0,0,0,3,0,1,0,23,23,1.0,1,38,0,0,45.0,2,2,0,0
72,0.0,2,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,65.53846153846153,13,13,2,0
73,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,5,0,1,41.3,10,10,0,0
74,0.0,65,0.0,0,0,0,4,0,0,2,16,16,1.0,1,32,0,3,48.07692307692308,13,13,3,0
75,0.0,26,0.0,0,0,0,3,0,0,0,5,5,1.0,2,11,1,0,20.0,1,1,0,0
76,0.0,68,0.0,0,0,0,4,0,0,5,11,11,1.0,1,30,7,0,39.8,5,5,0,0
77,0.0,182,0.0,3,0,0,9,0,1,9,32,29,0.6666666666666666,6,65,0,0,72.0,1,1,0,0
78,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,1,0,0,43.0,1,1,0,0
79,0.0,26,0.0,3,0,0,3,0,0,3,3,0,0.0,3,3,0,0,31.666666666666668,3,3,1,2
80,0.0,174,0.0,4,0,0,30,0,2,0,34,30,0.8666666666666667,30,43,0,0,38.1764705882353,17,17,0,0
81,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1,53.5,16,15,1,0
82,4.838709677419355,124,0.0,0,6,0,5,0,0,4,18,18,1.0,3,80,0,0,32.666666666666664,3,3,0,0
83,0.0,32,0.0,1,0,0,7,0,0,0,7,6,0.8571428571428571,4,11,0,1,40.0,4,4,0,0
84,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,0,57.583333333333336,12,11,0,0
85,0.0,37,2.702702702702702,1,0,1,4,0,0,3,7,5,0.75,2,11,0,2,97.05555555555556,18,18,2,0
86,0.0,180,0.0,13,0,0,33,0,2,0,37,24,0.6060606060606061,33,46,0,0,45.8,5,5,0,0
87,0.0,13,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,151.14285714285714,7,7,1,2
88,2.0134228187919465,149,2.0134228187919465,0,3,3,10,1,0,0,28,27,0.9,8,58,0,0,118.875,16,13,0,0
89,0.0,90,0.0,7,0,0,14,0,0,0,20,13,0.5,13,35,0,0,37.0,2,2,0,0
90,0.0,11,0.0,1,0,0,1,0,0,0,1,0,0.0,1,1,0,0,46.25,4,2,0,0
91,0.0,16,0.0,2,0,0,2,0,0,1,2,0,0.0,2,2,0,2,80.18181818181819,11,11,0,0
92,0.0,239,0.0,0,0,0,1,0,0,0,1,1,1.0,1,235,0,0,52.66666666666666,6,1,0,0
93,0.0,38,0.0,2,0,0,5,0,0,1,8,6,0.6,3,11,0,1,44.5,2,2,0,0
94,0.0,6,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2,55.134020618556704,97,59,1,0
95,0.0,56,0.0,0,0,0,21,0,0,1,21,21,1.0,18,28,0,1,70.12280701754386,57,12,15,0
96,0.0,34,0.0,0,0,0,0,0,16,0,0,0,0.0,0,0,0,0,31.0,3,3,0,0
97,0.0,126,0.0,3,0,0,15,2,0,3,35,30,0.6666666666666666,15,26,0,0,20.0,2,2,0,2
98,0.0,14,0.0,0,0,0,3,0,0,0,3,3,1.0,0,5,0,1,51.6,5,5,0,0
99,0.0,303,0.0,21,0,0,44,2,1,2,67,44,0.4772727272727273,44,55,0,7,45.66666666666666,45,36,5,0
100,0.0,21,0.0,2,0,0,3,0,0,0,4,2,0.3333333333333333,1,6,0,1,33.0,4,2,0,0
101,0.0,59,0.0,0,0,0,3,0,0,5,16,16,1.0,3,24,0,1,96.75,4,4,1,0
102,0.0,18,0.0,0,0,0,1,0,0,0,3,3,1.0,1,8,0,0,177.0,1,1,0,0
103,0.0,1461,0.0,6,0,0,40,7,3,1,381,365,0.675,35,677,0,2,46.4,5,5,0,0
104,0.0,18,0.0,0,0,0,7,0,0,0,7,7,1.0,7,7,0,2,110.17391304347828,23,9,3,0
105,0.0,83,0.0,0,0,0,5,0,0,0,16,16,1.0,4,10,0,0,41.0,2,2,0,0
106,0.0,282,0.0,8,0,0,22,1,0,5,76,49,0.5909090909090909,1,83,2,0,145.75,8,7,0,0
107,0.0,1111,0.0,0,0,0,22,0,2,17,290,290,1.0,17,665,0,4,70.66666666666667,9,9,1,0
108,0.0,17,0.0,0,0,0,0,0,6,0,0,0,0.0,0,0,0,0,123.5,2,2,0,0
109,0.0,39,0.0,2,0,0,4,0,0,2,4,2,0.5,4,7,0,0,42.0,1,1,0,0
110,0.0,313,0.0,16,0,0,37,0,10,8,56,39,0.5675675675675675,27,100,12,4,43.0,21,20,0,1
111,0.0,78,0.0,4,0,0,12,0,0,0,20,16,0.6666666666666666,12,29,0,0,177.0,1,1,0,0
112,0.0,6,0.0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,1,35.666666666666664,3,3,0,0
113,0.0,14,0.0,0,0,0,1,0,0,1,1,1,1.0,1,3,0,3,50.333333333333336,12,10,0,0
114,0.0,12,0.0,1,0,0,2,1,0,1,2,0,0.0,2,2,0,1,16.333333333333332,3,3,0,0
115,0.0,11,0.0,0,0,0,1,0,0,0,4,4,1.0,1,8,0,0,59.0,1,1,0,0
116,0.0,39,0.0,1,0,0,5,0,1,1,6,5,0.8,5,19,0,2,33.42857142857143,7,7,0,0
117,0.0,22,0.0,0,0,0,3,0,0,1,6,6,1.0,3,7,0,0,22.0,1,1,0,0
118,0.0,70,0.0,5,0,0,11,2,0,5,13,6,0.3636363636363636,11,19,0,0,16.666666666666668,3,3,0,0
119,0.0,6,0.0,0,0,0,2,0,0,0,2,2,1.0,0,2,0,0,51.0,3,3,0,0
120,0.0,21,0.0,0,0,0,3,1,0,1,3,2,0.6666666666666666,3,8,0,0,35.75,8,8,0,0
121,0.0,9,0.0,0,0,0,1,0,0,0,1,1,1.0,1,7,0,0,33.2,10,10,0,0
122,0.0,12,0.0,1,0,0,1,0,0,1,1,0,0.0,1,1,0,3,38.95652173913044,23,21,0,2
123,0.0,83,0.0,0,0,0,9,7,0,8,9,2,0.2222222222222222,9,25,8,0,31.83333333333333,12,12,0,0
124,0.0,59,0.0,0,0,0,4,0,0,1,13,13,1.0,4,52,0,0,33.4,10,10,0,0
125,0.0,14,0.0,0,0,0,1,0,0,0,1,1,1.0,1,5,0,0,23.5,2,2,0,0
126,0.0,168,0.0,1,0,0,17,14,0,16,17,2,0.1176470588235294,17,47,16,0,23.0,2,2,0,0
127,0.0,14,0.0,0,0,0,2,1,0,0,2,1,0.5,0,2,0,4,35.3,60,53,5,1
128,0.0,247,0.0,0,0,0,122,0,0,0,122,122,1.0,0,122,0,0,31.84,25,25,0,0
129,0.0,30,0.0,2,0,0,5,0,0,0,5,3,0.6,3,5,0,1,56.142857142857146,7,5,0,0
130,0.0,238,0.0,1,0,0,16,1,0,0,42,40,0.875,11,33,2,14,58.65,40,31,2,0
