id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MaxNumberOfAddedLines,Severity
0,1,2,0,0,4,0
1,1,3,0,0,4,0
2,16,119,0,0,139,2
3,1,3,0,0,4,0
4,1,3,0,0,4,0
5,1,4,0,0,4,0
6,1,3,0,0,4,0
7,1,2,0,0,4,0
8,1,3,0,0,21,0
9,1,3,0,0,4,0
10,1,4,0,0,5,0
11,1,3,0,0,4,0
12,1,3,0,0,4,0
13,1,3,0,0,4,0
14,1,4,0,0,5,0
15,1,7,0,0,8,0
16,1,3,0,0,5,0
17,2,12,0,0,13,0
18,1,16,0,0,12,0
19,1,3,0,0,4,0
20,2,6,0,0,7,0
21,1,3,0,0,4,0
22,1,5,0,0,6,0
23,1,3,0,0,4,0
24,2,8,0,0,9,0
25,1,3,0,0,4,0
26,1,4,0,0,5,0
27,1,7,0,0,8,0
28,1,5,0,0,6,0
29,1,4,0,0,5,0
30,1,3,0,0,4,0
31,1,2,0,0,2,0
32,1,2,0,0,3,0
33,1,2,0,0,3,0
34,1,2,0,0,2,0
35,1,2,0,0,3,0
36,1,4,0,0,5,0
37,1,3,0,0,4,0
38,1,3,0,0,5,0
39,2,5,0,0,8,0
40,10,54,0,0,66,0
41,2,12,0,0,9,0
42,1,3,0,0,4,0
43,1,3,0,0,4,0
44,1,3,0,0,4,0
45,1,3,0,0,4,0
46,3,22,0,0,23,0
47,1,3,0,0,2,0
48,1,3,0,0,4,0
49,1,12,0,0,12,0
50,1,5,0,0,6,0
51,2,6,0,0,7,0
52,1,5,0,0,5,0
53,1,2,0,0,3,0
54,1,2,0,0,3,0
55,1,2,0,0,3,0
56,1,5,0,0,6,0
57,1,3,0,0,4,0
58,1,11,0,0,12,0
59,1,6,0,0,6,0
60,1,5,0,0,6,0
61,1,2,0,0,3,0
62,1,5,0,0,6,0
63,1,2,0,0,4,0
64,1,6,0,0,8,0
65,1,4,0,0,5,0
66,3,6,0,0,7,0
67,1,4,0,0,5,0
68,1,3,0,0,4,0
69,1,3,0,0,4,0
70,1,4,0,0,5,0
71,1,4,0,0,5,0
72,1,3,0,0,4,0
73,1,4,0,0,5,0
74,1,3,0,0,4,0
75,1,4,0,0,5,0
76,1,3,0,0,4,0
77,1,3,0,0,4,0
78,1,6,0,0,7,0
79,1,3,0,0,5,0
80,1,4,0,0,5,0
81,1,3,0,0,5,0
82,1,3,0,0,10,0
83,1,3,0,0,4,0
84,1,3,0,0,4,0
85,1,5,0,0,6,0
86,1,3,0,0,4,0
87,1,3,0,0,4,0
88,1,3,0,0,4,0
89,1,3,0,0,4,0
90,1,2,0,0,3,0
91,1,4,0,0,5,0
92,1,4,0,0,5,0
93,1,6,0,0,8,0
94,1,3,0,0,4,0
95,1,5,0,0,5,0
96,2,9,0,0,10,0
97,1,3,0,0,4,0
98,1,4,0,0,5,0
99,1,2,0,0,3,0
100,1,3,0,0,4,0
101,1,3,0,0,4,0
102,1,3,0,0,4,0
103,1,3,0,0,4,0
104,1,3,0,0,4,0
105,1,3,0,0,4,0
106,1,4,0,0,5,0
107,1,3,0,0,4,0
108,1,10,0,0,11,0
109,1,5,0,0,6,0
110,7,27,0,0,34,0
111,1,9,0,0,10,0
112,2,3,0,0,4,0
113,1,5,0,0,6,0
114,1,6,0,0,5,0
115,5,22,0,0,25,0
116,1,8,0,0,9,0
117,2,8,0,0,27,0
118,3,20,0,0,16,0
119,2,7,0,0,8,0
120,1,5,0,0,6,0
121,4,23,0,0,35,1
122,1,5,0,0,6,0
123,1,5,0,0,6,0
124,1,4,0,0,12,0
125,4,15,0,0,15,0
126,3,16,0,1,15,0
127,2,8,0,0,9,0
128,1,41,0,0,43,0
129,2,6,0,0,12,0
130,6,24,0,0,13,0
131,1,5,0,0,6,0
132,1,8,0,0,6,0
133,1,3,0,0,6,0
134,1,7,0,0,9,0
135,1,6,0,0,7,0
136,1,6,0,0,7,0
137,8,42,0,0,57,1
138,7,36,0,0,32,0
139,1,5,0,0,6,0
140,1,5,0,0,6,0
141,1,5,0,0,6,0
142,2,6,0,0,7,0
143,2,6,0,0,8,0
144,6,19,0,0,20,0
145,1,6,0,0,8,0
146,1,7,0,0,8,0
147,1,5,0,0,5,0
148,1,5,0,0,6,0
149,1,8,0,0,15,0
150,1,7,0,0,8,0
151,1,5,0,0,6,0
152,1,4,2,0,6,0
153,2,9,0,0,11,0
154,2,12,0,0,17,0
155,1,6,0,0,7,0
156,1,5,0,0,6,0
157,1,7,0,0,9,0
158,1,7,0,0,8,0
159,1,4,0,0,6,0
160,1,5,0,0,6,0
161,1,3,0,0,10,0
162,2,12,0,0,13,0
163,1,7,0,0,8,0
164,1,7,0,0,8,0
165,1,5,0,0,6,0
166,1,4,0,0,5,0
167,1,5,0,0,6,0
168,1,8,0,0,9,0
169,6,32,0,0,61,0
170,1,5,0,0,6,0
171,1,7,0,0,8,0
172,1,5,0,0,6,0
173,1,5,0,0,6,0
174,1,4,0,0,5,0
175,2,9,0,0,7,0
176,1,4,0,0,5,0
177,2,5,0,0,6,0
178,4,17,0,0,18,0
179,2,5,0,0,7,0
180,4,30,0,0,29,0
181,2,7,0,0,7,0
182,2,19,0,0,23,0
183,1,8,0,0,8,0
