id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,MeanAuthorCommits,Severity
0,1,2,0,0,7246.0,0
1,1,3,0,0,67.0,0
2,16,119,0,0,703.0,3
3,1,3,0,0,240.0,0
4,1,3,0,0,1840.0,0
5,1,4,0,0,235.0,0
6,1,3,0,0,956.0,0
7,1,2,0,0,415.0,0
8,1,3,0,0,3443.0,0
9,1,3,0,0,522.0,0
10,1,4,0,0,261.5,0
11,1,3,0,0,1386.0,0
12,1,3,0,0,1386.0,0
13,1,3,0,0,121.0,0
14,1,4,0,0,467.0,0
15,1,7,0,0,64.0,0
16,1,3,0,0,6.0,0
17,2,12,0,0,203.0,0
18,1,16,0,0,185.0,1
19,1,3,0,0,77.0,0
20,2,6,0,0,1515.0,0
21,1,3,0,0,3136.0,0
22,1,5,0,0,628.0,0
23,1,3,0,0,28.0,0
24,2,8,0,0,28.0,0
25,1,3,0,0,3581.0,0
26,1,4,0,0,28.0,0
27,1,7,0,0,513.5,0
28,1,5,0,0,77.0,0
29,1,4,0,0,235.0,0
30,1,3,0,0,167.0,0
31,1,3,0,0,693.0,0
32,1,2,0,0,223.0,0
33,1,2,0,0,223.0,0
34,1,2,0,0,223.0,0
35,1,2,0,0,223.0,0
36,1,2,0,0,223.0,0
37,1,4,0,0,223.0,0
38,1,3,0,0,737.0,0
39,1,3,0,0,86.5,0
40,2,5,0,0,4945.5,0
41,10,54,0,0,9140.0,2
42,2,12,0,0,49.5,0
43,1,3,0,0,573.0,0
44,1,3,0,0,367.5,0
45,1,3,0,0,1729.0,0
46,1,3,0,0,107.0,0
47,3,22,0,0,1729.0,0
48,1,3,0,0,138.0,0
49,1,3,0,0,17014.0,0
50,1,12,0,0,36.5,0
51,1,5,0,0,17014.0,0
52,2,6,0,0,121.0,0
53,1,5,0,0,354.0,0
54,1,2,0,0,1873.0,0
55,1,2,0,0,120.0,0
56,1,2,0,0,1873.0,0
57,1,5,0,0,1918.0,0
58,1,3,0,0,66.0,0
59,1,11,0,0,117.0,0
60,1,6,0,0,3105.8,0
61,1,5,0,0,264.0,0
62,1,2,0,0,147.0,0
63,1,5,0,0,169.0,0
64,1,2,0,0,417.0,0
65,1,6,0,0,292.0,0
66,1,4,0,0,149.0,0
67,3,6,0,0,2678.0,0
68,1,4,0,0,3007.0,0
69,1,3,0,0,2678.0,0
70,1,3,0,0,486.0,0
71,1,4,0,0,248.5,0
72,1,4,0,0,62.0,0
73,1,3,0,0,5.0,0
74,1,4,0,0,230.5,0
75,1,3,0,0,518.5,0
76,1,4,0,0,550.0,0
77,1,3,0,0,2544.0,0
78,1,3,0,0,1496.0,0
79,1,6,0,0,1443.5,0
80,1,3,0,0,28.0,0
81,1,4,0,0,223.0,0
82,1,3,0,0,80.0,0
83,1,3,0,0,64.2,0
84,1,3,0,0,32.0,0
85,1,3,0,0,9.0,0
86,1,5,0,0,1898.0,0
87,1,3,0,0,3474.0,0
88,1,3,0,0,772.0,0
89,1,3,0,0,194.0,0
90,1,3,0,0,6.0,0
91,1,2,0,0,14.0,0
92,1,4,0,0,2297.0,0
93,1,4,0,0,5173.0,0
94,1,6,0,0,3118.0,0
95,1,3,0,0,231.0,0
96,1,5,0,0,84.0,0
97,2,9,0,0,641.0,0
98,1,3,0,0,1697.0,0
99,1,4,0,0,306.0,0
100,1,2,0,0,46.5,0
101,1,3,0,0,156.0,0
102,1,3,0,0,3.0,0
103,1,3,0,0,8532.0,0
104,1,3,0,0,237.0,0
105,1,3,0,0,39.0,0
106,1,3,0,0,3460.0,0
107,1,4,0,0,852.5,0
108,1,3,0,0,133.0,0
109,1,10,0,0,12.0,0
110,1,5,0,0,4001.5,0
111,7,27,0,0,64.0,1
112,1,9,0,0,26.0,0
113,2,3,0,0,2112.0,0
114,1,5,0,0,761.0,0
115,1,6,0,0,1426.5,0
116,5,22,0,0,388.0,0
117,1,8,0,0,94.0,0
118,2,8,0,0,38.5,0
119,3,20,0,0,1197.0,0
120,2,7,0,0,1127.0,0
121,1,5,0,0,28.0,0
122,4,23,0,0,854.5,0
123,1,5,0,0,1496.0,0
124,1,5,0,0,250.66666666666663,0
125,1,4,0,0,819.0,0
126,4,15,0,0,1575.5,0
127,3,16,0,1,3829.0,0
128,2,8,0,0,1464.0,0
129,1,41,0,0,23.0,0
130,2,6,0,0,772.0,0
131,1,13,0,0,1819.0,0
132,6,24,0,0,5146.0,1
133,1,5,0,0,16.5,0
134,1,8,0,0,637.3333333333334,0
135,1,3,0,0,106.2,0
