id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,TimePassedSinceTheLastChange,Severity
0,1,2,0,0,719,0
1,1,3,0,0,2213,0
2,16,119,0,0,3181,3
3,1,3,0,0,1269,0
4,1,3,0,0,604,0
5,1,4,0,0,582,0
6,1,3,0,0,224,0
7,1,2,0,0,382,0
8,1,3,0,0,1806,0
9,1,3,0,0,947,0
10,1,4,0,0,21,0
11,1,3,0,0,1163,0
12,1,3,0,0,1163,0
13,1,3,0,0,785,0
14,1,4,0,0,1474,0
15,1,7,0,0,157,0
16,1,3,0,0,531,0
17,2,12,0,0,169,0
18,1,16,0,0,1134,1
19,1,3,0,0,2338,0
20,2,6,0,0,906,0
21,1,3,0,0,4130,0
22,1,5,0,0,577,0
23,1,3,0,0,1082,0
24,2,8,0,0,1082,0
25,1,3,0,0,1291,0
26,1,4,0,0,1082,0
27,1,7,0,0,3052,0
28,1,5,0,0,282,0
29,1,4,0,0,151,0
30,1,3,0,0,556,0
31,1,3,0,0,1479,0
32,1,2,0,0,218,0
33,1,2,0,0,218,0
34,1,2,0,0,218,0
35,1,2,0,0,218,0
36,1,2,0,0,218,0
37,1,4,0,0,218,0
38,1,3,0,0,241,0
39,1,3,0,0,182,0
40,2,5,0,0,665,0
41,10,54,0,0,414,2
42,2,12,0,0,124,0
43,1,3,0,0,1842,0
44,1,3,0,0,2679,0
45,1,3,0,0,911,0
46,1,3,0,0,1010,0
47,3,22,0,0,818,0
48,1,3,0,0,1011,0
49,1,3,0,0,1556,0
50,1,12,0,0,27,0
51,1,5,0,0,2799,0
52,2,6,0,0,1641,0
53,1,5,0,0,1009,0
54,1,2,0,0,1738,0
55,1,2,0,0,1085,0
56,1,2,0,0,1738,0
57,1,5,0,0,1762,0
58,1,3,0,0,3143,0
59,1,11,0,0,2057,0
60,1,6,0,0,54,0
61,1,5,0,0,2683,0
62,1,2,0,0,87,0
63,1,5,0,0,348,0
64,1,2,0,0,1565,0
65,1,6,0,0,418,0
66,1,4,0,0,1047,0
67,3,6,0,0,1117,0
68,1,4,0,0,1462,0
69,1,3,0,0,708,0
70,1,3,0,0,919,0
71,1,4,0,0,680,0
72,1,4,0,0,473,0
73,1,3,0,0,2119,0
74,1,4,0,0,1113,0
75,1,3,0,0,594,0
76,1,4,0,0,745,0
77,1,3,0,0,1213,0
78,1,3,0,0,1782,0
79,1,6,0,0,145,0
80,1,3,0,0,1082,0
81,1,4,0,0,218,0
82,1,3,0,0,965,0
83,1,3,0,0,929,0
84,1,3,0,0,1198,0
85,1,3,0,0,704,0
86,1,5,0,0,1780,0
87,1,3,0,0,1687,0
88,1,3,0,0,298,0
89,1,3,0,0,3853,0
90,1,3,0,0,531,0
91,1,2,0,0,657,0
92,1,4,0,0,1452,0
93,1,4,0,0,2114,0
94,1,6,0,0,1287,0
95,1,3,0,0,853,0
96,1,5,0,0,236,0
97,2,9,0,0,361,0
98,1,3,0,0,2262,0
99,1,4,0,0,2005,0
100,1,2,0,0,131,0
101,1,3,0,0,1432,0
102,1,3,0,0,1228,0
103,1,3,0,0,821,0
104,1,3,0,0,1075,0
105,1,3,0,0,55,0
106,1,3,0,0,3382,0
107,1,4,0,0,120,0
108,1,3,0,0,121,0
109,1,10,0,0,1151,0
110,1,5,0,0,3385,0
111,7,27,0,0,597,1
112,1,9,0,0,346,0
113,2,3,0,0,165,0
114,1,5,0,0,1716,0
115,1,6,0,0,1283,0
116,5,22,0,0,115,0
117,1,8,0,0,494,0
118,2,8,0,0,380,0
119,3,20,0,0,843,0
120,2,7,0,0,556,0
121,1,5,0,0,1082,0
122,4,23,0,0,278,0
123,1,5,0,0,2159,0
124,1,5,0,0,2334,0
125,1,4,0,0,1874,0
126,4,15,0,0,695,0
127,3,16,0,1,324,0
128,2,8,0,0,1133,0
129,1,41,0,0,965,0
130,2,6,0,0,307,0
131,1,13,0,0,3955,0
132,6,24,0,0,266,1
133,1,5,0,0,565,0
134,1,8,0,0,16,0
135,1,3,0,0,897,0
136,1,7,0,0,1082,0
137,1,6,0,0,575,0
138,1,6,0,0,990,0
139,8,42,0,0,113,1
140,7,36,0,0,1176,1
141,1,5,0,0,757,0
142,1,5,0,0,2345,0
143,1,5,0,0,1104,0
144,2,6,0,0,350,0
145,2,6,0,0,638,0
146,6,19,0,0,1327,0
147,1,6,0,0,1307,0
148,1,7,0,0,1100,0
149,1,5,0,0,819,0
150,1,5,0,0,492,0
151,1,8,0,0,326,0
152,1,7,0,0,1135,0
153,1,5,0,0,3617,0
154,1,4,2,0,57,0
155,2,9,0,0,902,0
156,2,12,0,0,4385,0
157,1,6,0,0,532,0
158,1,5,0,0,1592,0
159,1,7,0,0,1295,0
160,1,7,0,0,831,0
161,1,4,0,0,41,0
162,1,5,0,0,149,0
163,1,3,0,0,1318,0
164,2,12,0,0,556,0
165,1,7,0,0,4369,0
166,1,7,0,0,1140,0
167,1,5,0,0,86,0
168,1,4,0,0,3640,0
169,1,5,0,0,766,0
170,1,8,0,0,311,0
171,6,32,0,0,558,1
172,1,5,0,0,896,0
173,1,7,0,0,265,0
174,1,5,0,0,1011,0
175,1,5,0,0,3248,0
176,1,4,0,0,2622,0
177,2,9,0,0,617,0
178,1,4,0,0,2539,0
179,2,5,0,0,2474,0
180,4,17,0,0,129,0
181,2,5,0,0,1008,0
182,4,30,0,0,418,1
183,2,7,0,0,462,0
184,2,19,0,0,129,1
185,1,8,0,0,721,0
186,1,5,0,0,560,0
187,1,4,0,0,159,0
188,1,5,0,0,1980,0
189,2,11,0,0,354,0
190,10,52,0,0,887,2
191,1,12,0,0,607,0
192,1,4,0,0,715,0
193,1,7,0,0,1082,0
194,2,5,0,0,553,0
195,1,7,0,0,548,0
196,3,22,0,0,1834,1
197,1,79,0,0,1855,3
198,1,5,0,0,59,0
199,3,15,0,0,278,0
200,1,12,0,0,275,0
201,1,10,0,0,2008,0
202,1,5,0,0,354,0
203,2,8,0,0,2115,0
204,1,5,0,0,1902,0
205,2,12,0,0,1177,0
206,1,3,0,0,1136,0
207,1,3,0,0,336,0
208,1,10,0,0,767,0
209,1,3,0,0,113,0
210,1,3,0,0,113,0
211,1,3,0,0,1115,0
212,2,10,0,0,369,0
213,1,3,0,0,1626,0
214,9,37,0,0,2079,1
215,4,15,0,0,423,0
216,10,27,0,0,2637,0
217,2,6,0,0,1815,0
218,2,9,0,0,277,0
219,2,9,0,0,4452,0
220,1,4,0,0,854,0
221,1,3,0,0,1955,0
222,1,3,0,0,4692,0
223,1,4,0,0,4132,0
224,2,3,0,0,4777,0
225,6,27,0,0,294,0
226,2,6,0,0,1686,0
227,1,3,0,0,1750,0
228,1,3,0,0,2569,0
229,1,3,0,0,589,0
230,2,8,0,0,2772,0
231,1,3,0,0,994,0
232,1,3,0,0,431,0
233,3,10,0,0,582,0
234,1,3,0,0,582,0
235,3,10,0,0,582,0
236,1,3,0,0,582,1
237,1,3,0,0,157,0
238,3,10,0,0,582,0
239,1,9,0,0,582,0
240,1,3,0,0,582,0
241,1,3,0,0,582,0
242,3,20,0,0,342,0
243,5,28,0,0,342,1
244,1,3,0,0,56,0
245,2,12,0,0,92,0
246,1,3,0,0,684,0
247,1,3,0,0,256,0
248,1,3,0,0,1704,0
249,1,3,0,0,905,0
250,5,21,0,0,2082,1
251,1,3,0,0,560,0
252,1,3,0,0,395,0
253,1,3,0,0,395,0
254,4,14,0,0,900,0
255,1,5,0,0,204,0
256,3,8,0,0,403,0
257,1,3,0,0,560,0
258,2,3,0,0,307,0
259,8,13,0,0,293,0
260,2,10,0,0,339,0
261,1,4,0,0,332,0
262,1,3,0,0,492,0
263,1,3,0,0,1047,0
264,13,73,0,0,1640,2
265,4,15,0,0,1177,0
266,4,17,0,0,4,1
267,2,5,0,0,1177,0
268,1,3,0,0,271,0
269,1,3,0,0,1178,0
270,4,17,0,0,556,0
271,5,20,0,0,1582,1
272,1,3,0,0,76,0
273,1,3,0,0,1537,0
274,1,3,0,0,505,0
275,3,10,0,0,787,0
276,1,6,0,0,48,0
277,1,4,0,0,595,0
278,3,7,0,0,409,0
279,1,3,0,0,240,0
280,1,3,0,0,448,0
281,1,12,0,0,1007,0
282,10,41,0,0,1007,0
283,1,3,0,0,1362,0
284,1,3,0,0,1362,0
285,2,8,0,0,261,0
286,1,3,0,0,960,0
287,1,3,0,0,941,0
288,3,10,0,0,52,0
289,1,3,0,0,52,0
290,1,3,0,0,1542,0
291,1,3,0,0,582,0
292,1,3,0,0,938,0
293,1,3,0,0,42,0
294,1,3,0,0,1519,0
295,1,3,0,0,117,0
296,1,3,0,0,2204,0
297,1,4,0,0,306,0
298,2,7,0,0,2994,0
299,4,12,0,0,2994,0
300,3,13,0,0,265,0
301,2,5,0,0,2567,0
302,1,3,0,0,2463,0
303,1,3,0,0,2003,0
304,2,3,0,0,172,0
305,5,24,0,0,2933,0
306,1,4,0,0,1523,0
307,1,5,0,0,855,0
308,5,17,0,0,100,0
309,1,4,0,0,531,0
310,2,8,0,0,337,0
311,1,3,0,0,531,0
312,1,4,0,0,963,0
313,1,3,0,0,833,0
314,2,8,0,0,152,0
315,1,3,0,0,465,0
316,1,3,0,0,83,0
317,1,3,0,0,69,0
