id,McCabeCyclomaticComplexity,LinesOfCodeInCallable,NumberOfLambdaExpressionsInCallable,NumberOfMethodReferencesPerCallable,Severity
0,1,2,0,0,0
1,1,3,0,0,0
2,16,119,0,0,3
3,1,3,0,0,0
4,1,3,0,0,0
5,1,4,0,0,0
6,1,3,0,0,0
7,1,2,0,0,0
8,1,3,0,0,0
9,1,3,0,0,0
10,1,4,0,0,0
11,1,3,0,0,0
12,1,3,0,0,0
13,1,3,0,0,0
14,1,4,0,0,0
15,1,7,0,0,0
16,1,3,0,0,0
17,2,12,0,0,0
18,1,16,0,0,1
19,1,3,0,0,0
20,2,6,0,0,0
21,1,3,0,0,0
22,1,5,0,0,0
23,1,3,0,0,0
24,2,8,0,0,0
25,1,3,0,0,0
26,1,4,0,0,0
27,1,7,0,0,0
28,1,5,0,0,0
29,1,4,0,0,0
30,1,3,0,0,0
31,1,3,0,0,0
32,1,2,0,0,0
33,1,2,0,0,0
34,1,2,0,0,0
35,1,2,0,0,0
36,1,2,0,0,0
37,1,4,0,0,0
38,1,3,0,0,0
39,1,3,0,0,0
40,2,5,0,0,0
41,10,54,0,0,2
42,2,12,0,0,0
43,1,3,0,0,0
44,1,3,0,0,0
45,1,3,0,0,0
46,1,3,0,0,0
47,3,22,0,0,0
48,1,3,0,0,0
49,1,3,0,0,0
50,1,12,0,0,0
51,1,5,0,0,0
52,2,6,0,0,0
53,1,5,0,0,0
54,1,2,0,0,0
55,1,2,0,0,0
56,1,2,0,0,0
57,1,5,0,0,0
58,1,3,0,0,0
59,1,11,0,0,0
60,1,6,0,0,0
61,1,5,0,0,0
62,1,2,0,0,0
63,1,5,0,0,0
64,1,2,0,0,0
65,1,6,0,0,0
66,1,4,0,0,0
67,3,6,0,0,0
68,1,4,0,0,0
69,1,3,0,0,0
70,1,3,0,0,0
71,1,4,0,0,0
72,1,4,0,0,0
73,1,3,0,0,0
74,1,4,0,0,0
75,1,3,0,0,0
76,1,4,0,0,0
77,1,3,0,0,0
78,1,3,0,0,0
79,1,6,0,0,0
80,1,3,0,0,0
81,1,4,0,0,0
82,1,3,0,0,0
83,1,3,0,0,0
84,1,3,0,0,0
85,1,3,0,0,0
86,1,5,0,0,0
87,1,3,0,0,0
88,1,3,0,0,0
89,1,3,0,0,0
90,1,3,0,0,0
91,1,2,0,0,0
92,1,4,0,0,0
93,1,4,0,0,0
94,1,6,0,0,0
95,1,3,0,0,0
96,1,5,0,0,0
97,2,9,0,0,0
98,1,3,0,0,0
99,1,4,0,0,0
100,1,2,0,0,0
101,1,3,0,0,0
102,1,3,0,0,0
103,1,3,0,0,0
104,1,3,0,0,0
105,1,3,0,0,0
106,1,3,0,0,0
107,1,4,0,0,0
108,1,3,0,0,0
109,1,10,0,0,0
110,1,5,0,0,0
111,7,27,0,0,1
112,1,9,0,0,0
113,2,3,0,0,0
114,1,5,0,0,0
115,1,6,0,0,0
116,5,22,0,0,0
117,1,8,0,0,0
118,2,8,0,0,0
